學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女
403302,市立麗山高中,31,54,0,0,7,11,33,587,339,216,108
403303,市立南湖高中,41,72,2,1,6,16,48,876,876,309,324
411301,私立泰北高中,54,69,17,10,10,13,65,1329,1053,499,467
411302,私立衛理女中,13,66,5,11,1,24,15,0,566,0,175
411303,私立華興中學,28,34,0,0,8,5,6,156,118,56,35
413301,市立陽明高中,43,105,0,0,4,18,39,699,723,245,252
413302,市立百齡高中,49,118,0,0,6,21,24,448,462,157,166
421301,私立薇閣高中,50,71,0,0,8,11,21,487,490,140,140
421302,私立十信高中,10,35,10,11,0,6,24,480,484,239,243
423301,市立復興高中,64,119,3,6,6,18,72,1181,1341,299,438
423302,市立中正高中,64,117,0,0,9,16,69,1226,1155,410,364
521301,私立明誠高中,39,43,4,8,8,18,20,477,364,243,218
521303,私立大榮高中,38,19,28,10,7,7,40,911,117,300,71
523301,市立鼓山高中,40,80,0,0,6,10,27,422,377,128,154
533301,市立左營高中,38,86,12,14,2,14,55,893,1012,275,357
533302,市立新莊高中,34,75,5,6,2,12,45,831,876,276,295
540301,國立中山大學附屬國光高中,33,49,7,8,7,10,18,321,367,98,137
543301,市立中山高中,26,72,5,5,3,13,42,764,850,260,283
543302,市立楠梓高中,31,43,0,1,3,8,30,514,578,129,156
551301,私立立志高中,147,95,52,24,11,24,147,4035,1837,1489,657
553301,市立高雄中學,94,76,18,60,3,17,72,2753,87,918,28
553302,市立三民高中,28,59,0,0,2,10,36,658,685,183,212
563301,市立新興高中,42,67,10,13,3,10,18,295,387,85,97
573301,市立高雄女中,43,102,1,6,3,15,63,0,2551,0,849
580301,國立高師大附中,26,62,1,4,2,17,24,468,359,172,103
581301,私立復華高中,41,50,5,1,4,13,48,804,1052,288,398
581302,天主教道明中學,81,112,4,5,7,28,48,1189,1117,528,451
583301,市立中正高中,42,121,3,5,5,12,33,640,612,206,180
593301,市立前鎮高中,43,65,3,5,6,12,45,845,897,262,279
