學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女
400144,國立臺灣戲曲學院附設高職,30,45,126,96,0,0,21,156,302,40,94
140222,國立臺東專科學校附設高職,44,37,0,0,0,0,36,669,268,119,52
010301,國立華僑高級中等學校,49,88,6,7,7,23,48,702,892,205,272
011301,私立淡江高中,41,67,0,0,9,14,37,691,727,210,243
011302,私立康橋高中,22,26,0,0,1,3,18,394,384,139,113
011306,私立金陵女中,30,81,1,1,3,19,22,0,975,0,363
011307,新北市裕德高級中等學校,20,29,6,4,3,9,5,36,30,0,0
011309,財團法人南山高中,101,117,6,10,11,24,42,1171,747,354,233
011310,財團法人恆毅高中,44,66,6,12,9,17,22,677,319,214,122
011311,私立聖心女中,11,43,1,9,3,12,9,0,357,0,127
011312,私立崇義高中,5,3,4,4,1,4,14,215,45,26,8
011314,財團法人中華高中,25,21,1,4,3,7,23,665,140,271,94
011315,私立東海高中,33,37,18,8,6,16,47,1465,340,387,118
011316,私立格致高中,68,50,8,7,6,11,43,1107,526,391,195
011317,私立醒吾高中,30,49,0,0,24,10,48,758,846,235,298
011318,私立徐匯高中,26,34,3,1,6,8,14,538,0,151,0
011322,財團法人崇光女中,18,81,0,1,2,14,17,0,751,0,249
011323,私立光仁高中,36,59,7,13,6,15,18,369,397,111,137
011324,私立竹林高中,73,86,0,6,7,17,33,691,664,225,237
011325,私立及人高中,28,31,0,0,5,13,13,282,191,137,85
011329,財團法人辭修高中,38,57,1,3,10,15,17,416,270,141,94
011399,私立時雨高中,48,34,0,0,11,18,15,407,239,134,94
013303,市立泰山高中,81,78,13,3,13,17,70,1809,646,441,191
013304,市立板橋高中,52,92,9,10,1,15,60,1216,1190,359,358
013335,市立新店高中,36,84,30,30,2,16,51,996,1009,265,280
013336,市立中和高中,41,86,0,0,4,15,54,1184,954,273,237
013337,市立新莊高中,47,86,0,0,3,15,57,1123,1075,289,316
013338,市立新北高中,47,72,8,12,9,11,51,962,975,261,235
013339,市立林口高中,46,62,0,0,0,18,45,797,889,224,325
014302,市立海山高中,77,187,0,0,5,19,34,689,587,192,167
014311,市立三重高中,57,120,6,9,7,12,42,671,816,161,233
014315,市立永平高中,52,119,0,0,7,13,36,617,707,133,169
014322,市立樹林高中,67,151,0,0,3,15,46,710,892,187,306
014326,市立明德高中,60,92,5,15,3,15,35,615,638,148,188
014332,市立秀峰高中,59,113,0,0,2,16,32,475,557,131,172
014338,市立金山高中,34,64,1,5,4,11,18,278,240,67,93
014343,市立安康高中,45,89,0,0,5,14,33,569,563,149,203
014347,市立雙溪高中,27,38,0,0,4,8,15,204,231,54,67
014348,市立石碇高中,26,48,0,0,5,6,18,270,320,69,98
014353,市立丹鳳高中,73,153,0,0,5,14,30,539,579,155,170
014356,市立清水高中,78,147,14,21,2,17,43,728,727,195,239
014357,市立三民高中,59,152,20,23,2,17,45,764,820,205,245
014362,市立錦和高中,53,138,0,0,3,13,32,572,592,167,164
014363,市立光復高中,36,91,0,0,1,11,19,329,387,93,112
014364,市立竹圍高中,37,63,0,0,1,9,20,390,354,81,62
014381,市立北大高級中學,27,45,0,0,1,8,18,368,369,95,113
020301,國立蘭陽女中,39,56,0,0,2,16,42,3,1542,0,512
020302,國立宜蘭高中,59,48,2,3,8,14,45,1504,181,461,62
020308,國立羅東高中,39,59,0,0,7,13,42,680,846,235,290
021301,私立慧燈高中,53,52,0,4,15,18,21,573,335,181,83
021310,私立中道高中,22,16,0,0,8,7,12,305,146,86,39
024322,縣立南澳高中,26,26,0,0,3,8,10,102,92,28,12
024325,縣立慈心華德福實中,10,19,0,0,5,10,3,46,55,10,14
030302,國立龍潭高中,57,60,8,6,10,20,45,951,496,322,170
030304,國立桃園高中,60,94,1,5,5,20,66,1334,1263,381,350
030305,國立中央大學附屬中壢高中,64,79,18,32,3,21,60,1268,1144,369,345
030306,國立武陵高中,64,87,17,50,5,19,63,1427,1062,432,371
030316,國立楊梅高中,52,64,0,0,7,17,48,1040,677,272,239
030325,國立陽明高中,44,97,5,10,4,23,60,1171,1229,314,389
030327,國立內壢高中,43,92,0,0,4,19,57,1107,1159,280,360
031301,私立漢英高中,5,3,10,1,6,14,12,136,85,40,21
031309,桃園市育達高中,74,132,8,29,9,18,152,2678,3678,878,1139
031310,私立六和高中,45,84,4,0,8,14,30,761,451,265,147
031311,桃園市復旦高中,54,93,5,6,6,16,36,859,764,274,265
031312,桃園市治平高中,113,121,47,34,9,35,152,3405,2822,1027,870
031313,桃園市振聲高中,76,106,14,10,10,17,76,1447,1972,463,621
031317,私立光啟高中,38,38,23,6,3,12,53,1412,428,502,184
031318,桃園市啟英高中,110,142,36,24,7,23,156,3973,3398,1184,1039
031319,桃園市清華高中,22,19,7,3,8,11,33,590,195,214,115
031320,桃園市新興高中,119,169,7,8,4,28,147,3889,2882,1276,913
031323,私立至善高中,21,25,0,0,7,17,28,483,290,143,103
031324,桃園市大興高中,46,38,0,0,3,6,55,1443,514,366,189
031326,私立大華高中,17,38,3,3,6,9,6,152,113,45,32
034306,市立南崁高中,31,70,0,0,3,14,42,742,821,246,260
034312,市立大溪高中,31,50,0,0,4,12,33,633,589,200,171
034314,市立壽山高中,64,79,0,0,4,14,54,826,1199,216,390
034319,市立平鎮高中,46,72,0,0,4,12,48,916,897,296,258
034332,市立觀音高中,51,86,3,7,6,13,25,505,389,141,112
034335,市立新屋高級中等學校,34,67,0,0,3,8,7,122,73,0,0
034347,市立永豐高中,52,127,0,0,1,19,35,684,634,208,194
034399,市立大園國際高中,51,65,0,0,2,11,45,641,1083,203,361
040302,國立竹東高中,39,70,8,4,6,15,48,899,849,245,284
040304,國立關西高中,24,48,4,1,8,13,27,468,466,154,169
040308,國立竹北高中,48,90,10,14,5,23,57,1128,923,324,317
041303,私立義民高中,40,64,16,18,2,17,44,1060,1027,343,344
041305,私立忠信高中,31,38,4,3,2,3,36,706,546,311,306
041306,私立東泰高中,40,35,8,4,7,14,56,1033,713,289,195
041307,私立仰德高中,27,37,6,6,5,14,46,920,644,212,138
044311,縣立六家高級中學,24,59,0,0,0,5,20,349,436,0,0
044320,縣立湖口高中,44,104,2,4,6,11,18,326,323,101,112
050303,國立苗栗高中,35,58,5,4,7,14,42,695,860,209,269
050310,國立竹南高中,33,70,2,3,7,19,42,817,808,220,216
050314,國立卓蘭高中,44,65,0,0,6,18,33,362,657,101,223
050315,國立苑裡高中,34,53,3,3,5,13,36,542,722,153,255
051302,私立君毅高中,41,69,7,3,14,11,50,1043,789,309,237
051305,私立大成高中,7,12,4,5,7,5,31,226,283,52,79
051306,私立建臺高中,48,63,1,8,6,11,35,729,653,250,227
051307,私立全人實驗高中,6,3,0,0,0,2,3,20,9,1,5
054308,縣立三義高中,24,46,0,0,2,6,13,161,241,33,61
054309,縣立苑裡高中,47,91,0,0,6,12,21,303,342,80,102
054317,縣立興華高中,36,76,0,0,4,11,18,283,295,78,96
054333,縣立大同高中,12,34,0,0,1,6,12,206,209,53,72
060322,國立興大附中,53,46,2,1,3,18,42,874,805,292,247
060323,國立中科實驗高級中學,24,27,0,0,2,10,12,205,162,72,42
061301,財團法人常春藤高中,26,29,15,7,3,8,22,458,475,175,172
061306,私立明台高中,51,89,11,14,8,17,83,1450,1915,450,680
061309,私立致用高中,76,97,5,6,8,21,84,2205,1393,687,536
061310,私立大明高中,64,85,17,27,8,22,76,1678,1550,554,544
061311,私立嘉陽高中,40,50,30,31,9,2,70,1590,867,566,345
061313,私立明道高中,154,192,4,5,10,46,93,2321,2258,755,761
061314,私立僑泰高中,110,129,13,15,15,27,135,3130,2914,1093,1033
061315,私立華盛頓高中,39,60,9,0,2,18,23,504,492,169,142
061316,私立青年高中,65,100,41,47,5,24,97,2083,1296,504,441
061317,私立弘文高中,54,76,4,3,15,17,35,799,719,291,231
061318,私立立人高中,46,82,11,8,5,23,48,1032,1187,338,363
061319,私立玉山高中,12,24,0,0,4,17,28,374,269,161,146
