學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女
400144,國立臺灣戲曲學院附設高職,31,45,122,97,0,0,21,156,291,50,96
140222,國立臺東專科學校附設高職,42,40,0,0,0,0,36,660,295,139,58
010301,國立華僑高級中等學校,52,85,7,10,7,23,48,667,904,204,278
011301,私立淡江高中,41,69,0,0,7,14,39,634,648,230,290
011302,私立康橋高中,23,27,0,0,0,0,18,387,376,134,124
011306,私立金陵女中,29,77,0,4,3,19,20,0,882,0,350
011307,新北市裕德高級中等學校,16,30,6,1,4,10,6,40,35,8,6
011309,財團法人南山高中,98,118,6,9,11,25,40,1103,710,390,243
011310,財團法人恆毅高中,42,64,0,0,8,15,20,571,302,225,110
011311,私立聖心女中,12,40,0,0,3,12,9,0,351,0,129
011312,私立崇義高中,5,3,3,4,1,4,10,131,29,74,9
011314,財團法人中華高中,25,17,4,6,3,7,17,461,95,280,75
011315,私立東海高中,27,29,25,10,5,10,35,1144,254,504,130
011316,私立格致高中,59,44,7,6,6,11,36,843,381,429,231
011317,私立醒吾高中,25,41,2,12,7,26,40,591,653,244,348
011318,私立徐匯高中,19,27,2,4,6,8,11,413,0,208,0
011322,財團法人崇光女中,16,74,0,5,1,13,15,0,630,0,268
011323,私立光仁高中,36,58,8,10,7,15,18,381,378,105,141
011324,私立竹林高中,69,80,0,6,4,17,31,595,565,236,259
011325,私立及人高中,16,23,0,0,0,5,8,178,106,136,108
011329,財團法人辭修高中,31,53,1,1,10,15,14,344,220,172,114
011330,新北市林口康橋國際高中,10,23,0,0,15,24,5,49,56,0,0
011399,私立時雨高中,49,33,0,0,9,17,15,372,231,158,80
013303,市立泰山高中,81,79,0,0,17,20,70,1790,647,426,165
013304,市立板橋高中,51,92,12,15,2,17,60,1214,1162,391,395
013335,市立新店高中,38,88,18,27,2,17,51,988,983,274,312
013336,市立中和高中,41,85,0,0,4,15,54,1157,933,347,286
013337,市立新莊高中,52,82,0,0,4,14,57,1129,1042,327,362
013338,市立新北高中,45,70,0,0,8,12,51,918,979,299,312
013339,市立林口高中,46,61,0,0,1,17,45,751,873,259,288
014302,市立海山高中,82,184,0,0,5,19,34,651,601,230,173
014311,市立三重高中,53,118,4,6,4,13,42,672,771,198,270
014315,市立永平高中,50,125,0,0,6,12,36,602,727,163,185
014322,市立樹林高中,81,144,0,0,5,22,50,677,897,193,251
014326,市立明德高中,64,86,4,8,7,15,36,595,634,180,185
014332,市立秀峰高中,63,110,0,0,5,13,33,492,531,125,185
014338,市立金山高中,36,64,0,0,4,12,18,248,235,71,74
014343,市立安康高中,46,93,0,0,6,13,33,549,550,164,186
014347,市立雙溪高中,28,38,0,0,4,8,15,198,176,36,68
014348,市立石碇高中,28,46,0,0,5,6,18,269,290,56,103
014353,市立丹鳳高中,74,152,0,0,7,12,30,551,541,154,198
014356,市立清水高中,73,146,14,23,2,13,43,713,715,203,243
014357,市立三民高中,61,151,20,22,1,18,46,764,788,214,251
014362,市立錦和高中,52,134,0,0,4,12,32,572,563,179,187
014363,市立光復高中,40,90,0,0,1,12,20,330,393,98,117
014364,市立竹圍高中,38,66,0,0,1,10,21,417,360,99,99
014381,市立北大高級中學,24,48,0,0,3,6,18,374,350,109,126
020301,國立蘭陽女中,40,55,0,0,2,17,42,1,1462,2,508
020302,國立宜蘭高中,64,44,2,3,7,13,45,1473,183,479,60
020308,國立羅東高中,39,62,0,0,8,12,42,676,813,227,284
021301,私立慧燈高中,51,48,1,2,14,14,20,522,316,207,127
021310,私立中道高中,21,14,0,0,8,6,10,238,125,125,56
024322,縣立南澳高中,26,24,0,0,4,7,9,95,76,26,29
024325,縣立慈心華德福實中,10,19,0,0,6,10,3,38,59,22,12
030305,國立中央大學附屬中壢高中,66,78,20,32,3,21,60,1262,1105,385,401
031301,私立漢英高中,6,8,13,1,2,4,10,71,35,27,0
031309,桃園市育達高中,70,122,12,33,9,17,149,2397,3324,935,1313
031310,私立六和高中,43,83,1,0,9,15,30,713,432,273,173
031311,桃園市復旦高中,50,95,7,8,6,17,36,882,761,270,263
031312,桃園市治平高中,107,114,61,28,9,36,147,3196,2549,1113,959
