學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女
131307,財團法人屏榮高中,54,63,31,44,5,9,79,1850,1554,470,414
131308,私立陸興高中,18,9,11,7,3,8,13,322,204,68,42
131311,私立美和高中,40,27,0,0,4,8,21,560,286,135,63
134304,縣立大同高中,43,84,0,0,4,8,21,255,452,57,179
134321,縣立枋寮高中,35,56,0,0,4,7,13,178,196,49,38
134324,縣立東港高中,78,100,4,13,2,11,19,339,345,68,69
134334,縣立來義高中,21,27,0,0,2,6,12,175,86,41,24
140301,國立臺東大學附屬體育高中,26,20,0,0,11,10,9,158,52,36,15
140302,國立臺東女中,27,40,0,0,3,13,27,6,916,5,327
140303,國立臺東高中,37,45,0,0,4,14,33,985,36,300,9
141301,臺東縣均一高中,8,11,0,0,4,10,2,18,25,0,0
141307,私立育仁高中,11,11,6,5,0,4,8,64,96,15,28
144322,縣立蘭嶼高中,15,11,0,0,5,4,3,33,10,9,3
150302,國立花蓮女中,34,46,15,8,3,14,33,6,1124,3,388
150303,國立花蓮高中,41,50,11,24,5,14,39,1299,43,393,9
150309,國立玉里高中,29,52,8,12,13,8,32,274,237,63,71
151306,私立海星高中,34,52,7,17,5,12,33,493,781,186,258
151307,私立四維高中,48,40,17,5,9,16,43,1096,860,365,262
151312,財團法人慈濟大學附中,32,41,5,3,9,9,15,263,265,75,94
154301,花蓮縣立體育高中,12,8,0,1,4,6,6,93,39,28,10
154399,縣立南平中學,2,9,0,0,2,7,3,0,21,0,1
160302,國立馬公高中,50,58,19,15,7,13,48,661,762,203,239
170301,國立基隆女中,41,78,7,11,1,20,49,0,1596,0,652
170302,國立基隆高中,41,51,15,44,7,16,40,1098,109,245,28
171306,私立二信高中,85,108,6,5,16,24,68,1684,1182,472,302
171308,輔大聖心高中,26,28,3,3,4,10,23,516,211,144,72
173304,市立中山高中,28,52,5,3,6,11,12,178,148,48,46
173306,市立安樂高中,29,57,3,4,2,12,12,246,160,68,48
173307,市立暖暖高中,19,50,0,0,5,8,11,257,111,86,24
173314,市立八斗高中,28,46,1,0,3,6,12,111,76,26,27
180301,國立科學工業園區實驗高中,34,75,0,0,6,28,21,391,281,110,88
180302,國立新竹女中,37,93,4,7,1,23,54,19,2086,6,719
180309,國立新竹高中,53,82,25,45,5,18,57,2170,64,723,19
181305,私立光復高中,86,114,26,43,9,24,128,2946,2414,725,630
181306,私立曙光女中,23,72,4,2,0,10,24,4,1089,0,365
181307,私立磐石高中,51,58,14,13,12,15,42,1237,671,433,209
181308,私立世界高中,22,41,13,11,5,15,39,470,625,140,195
183306,市立成德高中,28,87,0,0,4,13,27,586,392,168,127
183307,市立香山高中,36,79,13,7,2,15,24,451,422,135,125
183313,市立建功高中,27,99,0,0,2,14,22,465,438,125,157
190301,國立臺中女中,51,77,3,14,5,18,54,0,2141,1,747
190302,國立臺中一中,99,78,0,0,9,21,75,2884,88,962,24
190303,國立臺中二中,75,82,0,0,11,20,69,1687,895,573,325
190315,國立文華高中,50,89,0,0,7,22,60,791,1467,257,540
191301,私立東大附中,25,50,2,4,4,5,18,384,423,112,156
191302,私立葳格高中,55,67,7,9,8,32,40,844,892,357,331
191305,私立新民高中,107,134,36,79,17,26,131,2734,3188,757,944
191308,私立宜寧高中,38,74,12,8,5,16,56,1364,1173,402,386
191309,私立明德高中,40,126,21,16,8,17,87,1168,2761,88,1054
191311,私立衛道高中,80,69,1,4,10,21,24,762,318,253,123
191313,私立曉明女中,29,72,6,12,2,16,18,0,828,0,286
191314,私立嶺東高中,69,83,23,17,10,21,82,2077,1726,726,526
193303,市立忠明高中,37,85,0,0,3,13,27,442,639,146,212
193313,市立西苑高中,62,128,0,0,1,18,27,548,535,174,206
193315,市立東山高中,73,141,0,0,5,11,30,564,613,174,228
193316,市立惠文高中,61,99,0,0,5,12,32,583,645,161,244
200302,國立嘉義女中,42,65,6,20,6,16,48,0,1762,0,630
200303,國立嘉義高中,76,73,17,37,7,21,67,2172,159,765,42
201304,私立興華高中,52,73,0,0,5,17,45,1062,978,369,330
201309,私立仁義高中,5,5,7,4,1,1,12,241,168,102,54
201310,私立嘉華高中,35,22,5,2,7,4,18,471,266,110,75
201312,私立輔仁高中,45,33,0,0,5,14,20,523,357,126,77
201313,私立宏仁女中,11,24,0,0,3,8,9,0,382,0,148
201314,私立立仁高中,8,10,0,0,3,9,8,162,184,49,94
210303,國立臺南二中,57,75,0,0,3,19,57,1664,511,712,19
210305,國立臺南一中,92,61,10,5,6,20,64,2239,68,803,31
210306,國立臺南女中,42,89,16,61,6,17,57,10,2174,4,761
210309,國立家齊高中,37,86,7,6,6,17,54,156,1765,0,655
211301,私立長榮高中,111,121,16,22,37,23,111,2803,2089,749,545
211302,私立長榮女中,9,37,12,38,8,19,36,132,1365,0,400
211304,財團法人聖功女中,32,69,0,2,2,28,21,0,974,0,296
211310,臺南市光華高中,17,61,0,0,2,14,39,461,1260,43,425
211314,私立六信高中,15,16,21,20,3,4,30,467,372,158,113
211315,私立瀛海高中,40,41,0,0,3,11,23,692,390,166,100
211317,私立崑山高中,23,25,44,25,2,18,35,519,314,471,277
211318,私立德光高中,37,78,0,3,3,27,27,535,675,139,368
211320,財團法人慈濟高中,34,61,3,4,6,16,16,266,257,78,73
213303,市立南寧高中,30,45,0,0,2,7,12,195,211,79,70
213316,市立土城高中,17,37,6,13,2,10,9,116,165,37,53
313301,市立西松高中,49,83,0,0,9,14,33,624,424,176,224
313302,市立中崙高中,39,105,2,4,5,20,30,579,517,167,217
321399,臺北市私立協和祐德高級中學,55,48,30,24,13,22,61,1452,442,592,201
323301,市立松山高中,65,95,5,9,7,20,63,1176,1130,411,403
323302,市立永春高中,46,79,1,8,2,20,48,796,845,245,328
330301,國立師大附中,86,141,45,77,10,39,80,2036,1049,679,334
331301,私立延平中學,59,67,0,0,8,14,30,897,579,303,170
331302,私立金甌女中,34,86,14,10,6,8,47,0,1780,0,756
331304,私立復興實驗高中,30,45,0,0,7,11,9,209,221,58,69
333301,市立和平高中,45,115,0,0,6,20,42,903,555,313,205
341301,私立中興中學,10,3,10,14,6,9,6,113,97,71,36
341302,私立大同高中,29,27,22,13,8,8,27,827,512,280,133
343301,市立中山女中,56,122,2,9,6,20,69,0,2546,0,871
343302,市立大同高中,46,129,0,0,4,23,48,847,912,295,330
