學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女
400144,國立臺灣戲曲學院附設高職,30,44,124,94,0,0,21,137,289,38,87
140222,國立臺東專科學校附設高職,45,38,23,9,2,2,36,681,280,136,64
010301,國立華僑高級中等學校,46,94,3,5,9,21,48,759,868,260,304
011301,私立淡江高中,44,69,0,1,8,12,41,728,847,312,279
011302,私立康橋高中,27,28,0,0,1,7,18,401,352,128,113
011306,私立金陵女中,27,86,2,3,3,20,23,0,1046,0,364
011307,新北市裕德高級中等學校,13,27,0,0,6,12,1,10,11,0,0
011309,財團法人南山高中,102,115,11,3,11,25,44,1223,742,388,251
011310,財團法人恆毅高中,47,66,12,12,9,18,23,687,344,222,124
011311,私立聖心女中,11,40,1,9,2,12,9,0,396,0,181
011312,私立崇義高中,9,3,5,3,1,4,13,182,39,74,23
011314,財團法人中華高中,26,19,20,4,8,4,35,993,257,459,148
011315,私立東海高中,41,37,6,2,7,15,58,1695,411,473,134
011316,私立格致高中,82,49,5,0,8,14,49,1297,652,574,290
011317,私立醒吾高中,31,72,0,11,6,25,54,989,1133,414,491
011318,私立徐匯高中,28,35,1,1,6,8,14,586,0,274,0
011322,財團法人崇光女中,17,86,0,0,2,16,18,0,777,0,277
011323,私立光仁高中,39,64,7,6,3,12,18,366,403,103,141
011324,私立竹林高中,71,80,3,5,6,15,36,735,746,254,251
011325,私立及人高中,34,36,4,1,4,14,18,429,294,187,130
011329,財團法人辭修高中,39,59,1,2,11,15,17,461,278,162,102
011399,私立時雨高中,46,32,0,0,11,17,15,441,243,0,0
013303,市立泰山高中,84,71,32,9,13,20,69,1909,690,487,177
013304,市立板橋高中,50,91,7,7,4,18,60,1218,1098,413,420
013335,市立新店高中,32,85,45,120,2,17,51,971,963,338,341
013336,市立中和高中,42,83,3,11,1,16,54,1151,928,416,299
013337,市立新莊高中,51,81,2,6,2,17,57,1106,1081,367,393
013338,市立新北高中,49,70,9,11,5,13,51,977,885,326,327
013339,市立林口高中,44,63,4,8,4,16,45,848,942,318,298
014302,市立海山高中,74,190,11,12,4,20,35,688,547,227,174
014311,市立三重高中,58,121,9,3,5,11,37,607,757,163,194
014315,市立永平高中,59,138,19,21,9,10,36,590,679,123,219
014322,市立樹林高中,71,157,11,15,5,15,48,762,941,249,260
014326,市立明德高中,59,96,6,12,7,14,33,611,606,175,175
014332,市立秀峰高中,60,110,21,22,5,16,29,469,524,121,131
014338,市立金山高中,39,64,0,0,2,14,19,279,250,86,73
014343,市立安康高中,44,92,0,0,4,15,31,513,556,145,123
014347,市立雙溪高中,27,40,0,0,6,7,15,223,230,44,61
014348,市立石碇高中,26,50,0,0,4,8,18,233,325,84,83
014353,市立丹鳳高中,75,158,11,21,4,13,29,501,556,137,148
014356,市立清水高中,83,167,19,37,3,17,38,665,699,174,182
014357,市立三民高中,59,160,39,50,2,17,39,682,736,167,201
014362,市立錦和高中,53,140,10,10,3,13,31,542,543,144,142
014363,市立光復高中,32,81,8,14,1,12,16,283,325,0,0
014364,市立竹圍高中,36,57,0,0,2,10,14,289,246,81,67
014381,市立北大高級中學,20,26,0,0,1,6,12,218,249,0,0
020301,國立蘭陽女中,38,60,0,0,2,17,42,2,1579,0,549
020302,國立宜蘭高中,65,44,2,3,7,14,45,1524,184,519,58
020308,國立羅東高中,40,60,0,0,7,13,42,744,867,278,282
021301,私立慧燈高中,57,48,2,2,16,19,21,568,312,185,113
021310,私立中道高中,27,17,0,0,8,9,13,329,136,100,53
024322,縣立南澳高中,16,22,2,1,2,7,10,114,81,53,51
024325,縣立慈心華德福實中,7,14,0,0,8,8,3,50,50,0,0
