縣市代碼,縣市名稱,學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女
30,臺北市,400144,國立臺灣戲曲學院附設高職部,31 ,40 ,0 ,0 ,0 ,0 ,21 ,134 ,275 ,47 ,88 
14,臺東縣,140222,國立臺東專科學校附設高職部,34 ,37 ,0 ,0 ,8 ,3 ,36 ,549 ,252 ,124 ,58 
01,新北市,010301,國立華僑高級中等學校,50 ,84 ,5 ,4 ,6 ,19 ,50 ,659 ,851 ,181 ,261 
01,新北市,011301,私立淡江高中,36 ,68 ,0 ,0 ,6 ,13 ,29 ,486 ,534 ,181 ,169 
01,新北市,011302,私立康橋高中,24 ,24 ,0 ,0 ,4 ,1 ,18 ,415 ,389 ,127 ,104 
01,新北市,011306,私立金陵女中,24 ,78 ,0 ,4 ,2 ,20 ,18 ,0 ,755 ,0 ,258 
01,新北市,011307,新北市裕德高級中等學校,17 ,40 ,8 ,2 ,4 ,18 ,9 ,70 ,63 ,6 ,4 
01,新北市,011309,財團法人南山高中,100 ,118 ,6 ,9 ,11 ,26 ,36 ,984 ,674 ,355 ,253 
01,新北市,011310,財團法人恆毅高中,35 ,54 ,2 ,3 ,9 ,15 ,19 ,511 ,301 ,146 ,80 
01,新北市,011311,私立聖心女中,13 ,39 ,5 ,8 ,2 ,13 ,9 ,0 ,380 ,0 ,86 
01,新北市,011312,私立崇義高中,5 ,3 ,3 ,1 ,3 ,2 ,6 ,114 ,26 ,36 ,6 
01,新北市,011314,財團法人中華高中,9 ,9 ,10 ,5 ,3 ,4 ,8 ,154 ,41 ,140 ,24 
01,新北市,011315,私立東海高中,13 ,21 ,22 ,10 ,7 ,10 ,23 ,571 ,141 ,232 ,46 
01,新北市,011316,私立格致高中,49 ,41 ,3 ,3 ,7 ,12 ,32 ,549 ,289 ,206 ,113 
