縣市代碼,縣市名稱,學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女
30,臺北市,400144,國立臺灣戲曲學院附設高職部,34,39,0,0,0,0,21,121,251,46,86
14,臺東縣,140222,國立臺東專科學校附設高職部,35,38,0,0,6,5,36,539,224,114,57
1,新北市,10301,國立華僑高級中等學校,52,82,1,4,5,20,48,696,807,197,246
1,新北市,11301,私立淡江高中,35,59,0,0,7,10,29,445,453,144,156
1,新北市,11302,私立康橋高中,48,59,0,0,4,9,24,432,453,129,128
1,新北市,11306,私立金陵女中,25,77,0,6,4,19,19,0,743,0,208
1,新北市,11307,新北市裕德高級中等學校,16,45,0,0,8,23,9,96,77,20,17
1,新北市,11309,財團法人南山高中,104,115,4,10,10,25,36,941,679,319,213
1,新北市,11310,財團法人恆毅高中,32,44,1,0,4,15,20,549,318,125,77
1,新北市,11311,私立聖心女中,12,38,2,7,2,12,9,0,370,0,115
1,新北市,11312,私立崇義高中,6,2,13,3,8,3,9,124,17,41,10
1,新北市,11314,新北市福瑞斯特高中,4,1,0,2,5,6,0,0,0,65,14
1,新北市,11315,私立東海高中,14,17,19,9,5,12,20,424,128,136,40
1,新北市,11316,私立格致高中,41,32,5,4,6,12,25,381,255,143,78
1,新北市,11317,私立醒吾高中,14,16,7,21,4,13,23,287,288,80,85
1,新北市,11318,私立徐匯高中,11,23,1,2,2,8,6,230,0,80,0
1,新北市,11322,新北市崇光高中,13,64,0,0,3,16,12,9,473,0,136
1,新北市,11323,私立光仁高中,31,50,13,16,9,14,18,358,364,85,66
1,新北市,11324,私立竹林高中,58,60,7,2,4,15,29,577,456,170,113
1,新北市,11325,私立及人高中,7,13,9,5,2,6,5,94,34,23,11
1,新北市,11329,財團法人辭修高中,20,50,1,1,18,21,12,279,193,90,56
1,新北市,11330,新北市林口康橋國際高中,38,43,0,0,14,33,15,260,277,74,65
1,新北市,11399,私立時雨高中,45,30,0,0,9,17,15,396,218,139,80
1,新北市,13303,市立泰山高中,83,78,0,0,18,22,68,1513,605,303,150
1,新北市,13304,市立板橋高中,48,91,12,17,3,18,60,1129,1053,347,369
